City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Arraial Do Cabo,BR,-22.9661,-42.0278,75.2,94,40,8.05,scattered clouds
80,Bethel,US,41.3712,-73.414,32.0,88,0,1.99,clear sky
81,Nanortalik,GL,60.1432,-45.2371,25.16,86,20,5.57,few clouds
82,Fairbanks,US,64.8378,-147.7164,-14.8,75,20,2.24,few clouds
83,Bluff,NZ,-46.6,168.3333,64.99,93,100,1.99,light rain
84,Kalianget,ID,-7.05,113.9333,83.16,75,82,3.62,broken clouds
85,Port Hawkesbury,CA,45.6169,-61.3485,36.0,93,90,8.05,mist
86,Cockburn Town,TC,21.4612,-71.1419,75.96,57,0,0.78,clear sky
87,Torbay,CA,47.6666,-52.7314,39.0,100,90,5.82,light intensity shower rain
88,Santa Flavia,IT,38.085,13.5351,61.0,50,68,15.99,broken clouds
89,Alexandria,EG,31.2156,29.9553,64.4,88,70,4.7,mist
90,Lavrentiya,RU,65.5833,-171.0,-14.51,83,0,10.2,clear sky
91,Upernavik,GL,72.7868,-56.1549,4.42,80,100,8.14,overcast clouds
92,Miri,MY,4.4148,114.0089,84.2,79,40,11.41,moderate rain
93,Saint-Philippe,RE,-21.3585,55.7679,87.8,52,75,6.93,light rain
94,Taoudenni,ML,22.6783,-3.9836,79.63,16,100,3.47,overcast clouds
95,Saint Anthony,US,45.0205,-93.218,27.0,86,1,4.7,clear sky
96,Geraldton,AU,-28.7667,114.6,87.8,35,0,24.16,clear sky
97,Awjilah,LY,29.1081,21.2869,66.02,49,0,6.93,clear sky
98,Keti Bandar,PK,24.1447,67.4497,75.29,24,0,8.72,clear sky
99,Kodiak,US,57.79,-152.4072,37.4,74,75,11.41,broken clouds
100,Te Anau,NZ,-45.4167,167.7167,56.03,88,100,2.42,overcast clouds
101,Richards Bay,ZA,-28.783,32.0377,81.25,66,84,18.48,broken clouds
102,Hualmay,PE,-11.0964,-77.6139,69.06,83,100,4.7,overcast clouds
103,Yaan,NG,7.3833,8.5667,92.44,43,29,4.34,scattered clouds
104,Tura,IN,25.5198,90.2201,76.03,44,91,4.12,overcast clouds
105,Lander,US,42.833,-108.7307,19.4,67,1,1.39,clear sky
106,Sunam,IN,30.1333,75.8,71.26,59,25,4.36,scattered clouds
107,Kupang,ID,-10.1667,123.5833,78.8,88,75,10.29,broken clouds
108,Rapid Valley,US,44.0625,-103.1463,34.0,55,1,19.46,clear sky
109,Belmonte,BR,-15.8631,-38.8828,73.4,88,20,3.36,few clouds
110,Bengkulu,ID,-3.8004,102.2655,80.85,84,97,16.26,light rain
111,Padang,ID,-0.9492,100.3543,84.2,74,20,8.05,few clouds
